T/V,N,NB,P,Q,Gflops
WR11C2R4,17664,32,1,1,79.37
WR11C2R4,17664,64,1,1,131.05
WR11C2R4,17664,128,1,1,164.75
WR11C2R4,17664,192,1,1,169.87
WR11C2R4,17664,256,1,1,170.7
