second,transfer,bitrate
0,7.69,66.0
1,7.63,65.58
2,7.6,65.28
3,7.7,66.12
4,7.77,66.74
5,7.71,66.22
6,7.64,65.6
7,7.63,65.58
8,7.6,65.24
9,7.66,65.82
10,7.71,66.24
11,7.61,65.4
12,7.64,65.66
13,7.58,65.14
14,7.57,65.1
15,7.59,65.26
16,7.61,65.36
17,7.69,66.06
18,7.59,65.22
19,7.6,65.28
20,7.55,64.84
21,7.52,64.6
22,7.62,65.44
23,7.59,65.24
24,7.61,65.36
25,7.61,65.32
26,7.54,64.74
27,7.58,65.1
28,7.63,65.5
29,7.61,65.36
30,7.65,65.7
31,7.63,65.46
32,7.6,65.3
33,7.63,65.6
34,7.66,65.84
35,7.68,65.92
36,7.66,65.8
37,7.74,66.48
38,7.68,65.96
39,7.63,65.58
40,7.76,66.66
41,7.63,65.58
42,7.66,65.8
43,7.65,65.7
44,7.61,65.42
45,7.63,65.56
46,7.6,65.26
47,7.54,64.76
48,7.59,65.16
49,7.56,64.94
50,7.6,65.3
51,7.56,64.9
52,7.55,64.86
53,7.5,64.44
54,7.63,65.52
55,7.65,65.74
56,7.67,65.86
57,7.7,66.12
58,7.7,66.18
59,7.62,65.48
