Size (kB),Record Length,Write (kB/s),Rewrite (kB/s),Read (kB/s),Reread (kB/s),Random Read (kB/s),Random Write (kB/s)
32768,2048,1751575.2,1933998.2,1275541.8,1407454.0,1389104.4,2031479.6
32768,4096,1538538.8,1671267.0,1557159.6,1605470.0,1373779.8,1707352.0
32768,8192,1355027.0,1616588.4,1458517.4,1472863.6,1375872.0,1380937.8
32768,16384,1504455.8,1561455.0,1380353.6,1519542.6,1451131.4,1609090.6
65536,64,172891.4,176155.8,144610.0,146962.2,123451.8,169835.6
65536,128,324640.4,331150.6,253932.0,246680.6,213589.0,334347.2
65536,256,639321.2,655943.4,374594.4,373022.0,366967.8,665419.0
65536,512,1153099.2,1166354.4,593483.8,608953.0,612410.6,1119564.0
65536,1024,1569795.6,1633802.8,851846.2,845941.0,872868.6,1546888.2
65536,2048,1433838.0,1645141.6,1276202.0,1351177.0,1307244.2,1559837.4
65536,4096,1255335.6,1301507.2,1250738.0,1153264.2,1074592.8,1207809.0
65536,8192,1110884.0,1122180.2,1114003.6,1172751.4,1232075.4,1172363.0
65536,16384,1010667.2,1037742.8,1015235.2,1094007.4,1061402.0,1032765.8
131072,64,175030.2,177985.4,135792.0,139937.8,104117.6,169576.2
131072,128,326669.6,331976.2,180180.4,193578.4,177730.6,330743.6
131072,256,554435.0,562504.8,383791.6,387524.2,322366.0,561536.6
131072,512,760323.2,775090.0,475440.8,487114.8,492887.6,703688.8
131072,1024,667793.4,671769.6,741412.2,725743.6,747884.6,659120.6
131072,2048,738136.2,799905.0,1119200.4,1131417.4,1134227.2,848817.6
131072,4096,826710.0,827619.4,1359856.2,1310429.6,1402681.8,851329.0
131072,8192,937570.4,939475.0,1477585.4,1501072.0,1511003.4,941580.4
131072,16384,931052.0,933915.0,1616462.6,1649560.8,1608325.2,977377.8
262144,64,153096.0,155700.4,134536.6,137053.2,96633.6,162535.0
262144,128,316511.0,320551.4,232667.4,227219.2,173109.0,333749.0
262144,256,637552.2,659505.2,365826.8,371584.8,321727.6,637670.4
262144,512,1096781.0,1114313.4,558595.8,546509.6,545147.4,1102030.0
262144,1024,1038787.4,1024289.0,763863.4,778135.8,754791.8,994453.2
262144,2048,1131460.0,1128533.2,922860.2,957689.4,994171.0,1117689.0
262144,4096,1119068.2,1089467.8,1250772.6,1475423.4,1416836.4,1138481.4
262144,8192,1105420.0,1156572.0,1548237.8,1550467.4,1564876.6,1132352.0
262144,16384,1121632.4,1145384.2,1511332.8,1542732.0,1543930.6,1135427.2
524288,64,159891.2,160663.2,134111.6,135716.8,99265.0,162328.2
524288,128,321124.8,339555.2,231700.6,232091.8,173877.8,347530.0
524288,256,657360.2,625202.2,350892.2,372278.6,318601.8,630751.6
524288,512,1078809.4,1066771.2,430781.4,500309.6,542827.8,1099828.4
524288,1024,1038072.8,1030551.4,732563.8,679839.8,606308.2,894031.0
524288,2048,1004411.2,1118754.8,1105472.4,1106842.2,1022945.4,1093131.6
524288,4096,1081179.2,1080351.0,1328719.8,1453265.2,1423076.6,1080758.6
524288,8192,1082156.8,1094463.2,1262369.2,1264718.0,1466085.0,1092022.8
524288,16384,1089696.0,1115700.2,1338695.0,1282259.8,1264162.4,1099762.6
