Size (kB),Record Length,Write (kB/s),Rewrite (kB/s),Read (kB/s),Reread (kB/s),Random Read (kB/s),Random Write (kB/s)
65536,64,15416.4,15822.8,62211.0,60094.2,60554.4,15558.4
65536,128,28838.4,28604.4,101821.8,101565.2,105171.4,28892.8
65536,256,45541.2,46548.8,157886.6,164834.6,155820.0,40501.8
65536,512,74059.2,80846.6,202210.0,202028.0,206850.8,82608.4
65536,1024,95148.4,89384.4,258711.0,252961.4,245525.2,90322.8
65536,2048,124012.8,105542.4,269437.8,275644.2,258324.2,112216.4
65536,4096,145662.8,138589.4,282376.8,278364.0,292189.2,142913.6
65536,8192,174067.2,158033.2,285159.4,287879.2,288778.2,150345.6
65536,16384,181132.2,167812.2,273710.4,292654.2,288988.8,180753.6
131072,64,15433.4,15603.4,58584.0,59335.4,60350.6,15559.2
131072,128,28219.8,28329.4,101074.6,104852.2,102047.6,27754.2
131072,256,45249.6,45390.6,148684.6,150822.2,159559.0,44589.4
131072,512,79713.6,86600.2,199912.4,204779.4,206797.0,82482.0
131072,1024,98846.8,86980.8,261132.2,263932.8,254545.8,80907.6
131072,2048,125139.6,107313.2,275664.4,279810.2,285943.8,90998.8
131072,4096,158518.8,131502.0,268934.6,283469.8,278717.8,139764.6
131072,8192,178189.0,152738.2,285198.2,288251.6,290883.2,155592.4
131072,16384,184074.6,182266.4,300708.6,294836.0,294783.2,178438.0
262144,64,15392.8,15472.8,61611.8,61770.4,62830.4,15714.4
262144,128,29077.6,28122.4,99667.8,103302.8,104145.2,28244.2
262144,256,46157.0,46808.4,152394.0,164361.4,166608.8,45533.4
262144,512,86106.4,88253.2,193247.2,196269.6,197312.0,86134.4
262144,1024,105390.2,85796.8,249541.8,246791.6,248173.4,83616.0
262144,2048,127813.8,112661.4,276369.0,270868.8,270423.6,107959.2
262144,4096,157420.6,134971.2,279939.2,278107.8,275623.6,138381.8
262144,8192,173792.6,161228.4,281294.6,274123.8,281454.6,161726.4
262144,16384,183994.0,168819.8,292858.2,282404.8,292969.6,170249.0
524288,64,15162.4,15626.8,63249.4,61455.6,62452.6,15404.0
524288,128,28573.4,28364.6,103842.8,102483.8,104855.2,28556.4
524288,256,45128.6,44785.8,162462.8,159268.6,168765.4,45544.2
524288,512,84607.6,86510.6,201453.6,203753.0,201854.2,85432.0
524288,1024,103726.8,79621.6,251766.2,250392.2,240745.4,81196.0
524288,2048,121752.4,104009.8,274668.6,268507.6,267131.0,104588.0
524288,4096,157197.8,130702.6,279911.2,278854.4,282240.8,127312.6
524288,8192,171504.6,156723.4,277011.0,280119.8,285578.8,157888.8
524288,16384,183919.8,172427.0,285501.4,289930.2,289743.6,170805.0
