T/V,N,NB,P,Q,Gflops
WR11C2R4,9984,32,1,1,73.25
WR11C2R4,9984,64,1,1,94.22
WR11C2R4,9984,128,1,1,100.76
WR11C2R4,9984,192,1,1,103.83
WR11C2R4,9984,256,1,1,103.12
