T/V,N,NB,P,Q,Gflops
WR11C2R4,9984,32,1,1,30.69
WR11C2R4,9984,64,1,1,31.96
WR11C2R4,9984,128,1,1,32.65
WR11C2R4,9984,192,1,1,32.82
WR11C2R4,9984,256,1,1,32.8
