T/V,N,NB,P,Q,Gflops
WR11C2R4,17664,32,1,1,59.57
WR11C2R4,17664,64,1,1,63.45
WR11C2R4,17664,128,1,1,64.8
WR11C2R4,17664,192,1,1,65.5
WR11C2R4,17664,256,1,1,65.48
