second,transfer,bitrate
0,7.69,66.0
1,7.63,65.58
2,7.6,65.26
3,7.69,66.1
4,7.77,66.72
5,7.7,66.16
6,7.63,65.52
7,7.63,65.52
8,7.59,65.22
9,7.66,65.76
10,7.7,66.14
11,7.61,65.38
12,7.64,65.66
13,7.57,65.06
14,7.57,65.06
15,7.58,65.14
16,7.59,65.24
17,7.68,65.94
18,7.59,65.14
19,7.6,65.26
20,7.54,64.76
21,7.52,64.6
22,7.61,65.34
23,7.59,65.22
24,7.6,65.3
25,7.6,65.3
26,7.53,64.7
27,7.57,65.08
28,7.62,65.46
29,7.6,65.28
30,7.64,65.58
31,7.62,65.44
32,7.6,65.28
33,7.63,65.58
34,7.66,65.82
35,7.67,65.88
36,7.65,65.72
37,7.73,66.42
38,7.67,65.88
39,7.62,65.5
40,7.75,66.62
41,7.63,65.54
42,7.65,65.72
43,7.65,65.66
44,7.6,65.34
45,7.63,65.52
46,7.59,65.22
47,7.53,64.68
48,7.57,65.06
49,7.56,64.9
50,7.6,65.24
51,7.55,64.88
52,7.55,64.84
53,7.5,64.38
54,7.62,65.5
55,7.65,65.7
56,7.66,65.78
57,7.68,65.98
58,7.7,66.12
59,7.61,65.34
