T/V,N,NB,P,Q,Gflops
WR11C2R4,9984,32,1,1,58.05
WR11C2R4,9984,64,1,1,61.37
WR11C2R4,9984,128,1,1,56.65
WR11C2R4,9984,192,1,1,62.79
WR11C2R4,9984,256,1,1,63.22
