Size (kB),Record Length,Write (kB/s),Rewrite (kB/s),Read (kB/s),Reread (kB/s),Random Read (kB/s),Random Write (kB/s)
32768,2048,2193175.0,2258302.4,2008787.4,1964600.6,1994807.0,2223031.8
32768,4096,2424598.6,2461190.2,2214428.2,2219718.0,2222747.0,2317017.0
32768,8192,2520626.4,2574734.4,2437815.0,2433154.2,2427212.2,2398946.0
32768,16384,2584739.4,2621874.0,2477244.4,2473976.6,2482469.2,2630238.4
65536,64,511579.0,531138.2,573046.0,553350.6,262527.0,506016.4
65536,128,795686.6,839885.0,819775.6,925905.2,474570.0,834874.6
65536,256,1215772.6,1268327.2,1346727.4,1320482.6,831634.4,1276469.2
65536,512,1619570.2,1686211.2,1141164.4,1081133.8,1094977.6,1572418.4
65536,1024,1708240.8,1709880.0,1555253.0,1393831.6,1333467.8,1542417.2
65536,2048,1637222.4,1488013.4,1123936.4,1366120.6,1479498.6,1711842.6
65536,4096,1966966.4,2038895.0,1918931.6,1847004.0,1574426.0,1832079.8
65536,8192,1485694.6,1598905.4,1491023.4,1446295.0,1313757.8,1329568.4
65536,16384,1542449.0,1325012.0,1509333.4,1473447.0,1514637.8,1477057.0
131072,64,398208.0,399681.6,391801.6,425535.6,121420.2,355690.8
131072,128,471324.6,487917.4,981316.0,994375.0,302422.6,487632.8
131072,256,583730.4,601285.8,1104603.4,1093645.0,496832.2,634968.2
131072,512,745751.4,734384.6,878435.0,865853.4,879004.6,762508.0
131072,1024,815209.0,806930.4,1211561.8,1211326.6,1245582.4,804580.4
131072,2048,889200.6,884185.6,1786330.8,1782018.8,1786089.2,939686.0
131072,4096,1032445.2,1021206.6,2025327.2,2056771.8,2065065.2,1019583.2
131072,8192,1065775.8,1082974.0,2326933.0,2328678.0,2322599.0,1075132.6
131072,16384,1093227.2,1093222.6,2112395.8,2101247.4,2106557.2,1086207.8
262144,64,334424.8,350549.2,537147.0,523223.0,202578.6,373134.0
262144,128,532871.6,690287.6,946923.0,991114.8,279638.0,683588.6
262144,256,866905.2,905700.8,1144872.4,1140639.2,516017.0,887449.2
262144,512,943309.6,967700.4,898192.8,856875.0,851968.4,953072.4
262144,1024,992249.6,1007765.4,1180140.0,1188976.6,1185975.6,994238.0
262144,2048,1035609.6,1081727.0,1503246.6,1518901.2,1527356.2,1008686.8
262144,4096,1006790.6,1120008.4,2103095.8,2110026.0,1899686.6,1145801.0
262144,8192,1111297.4,1157949.0,2039678.0,2316244.2,2215960.4,1034735.4
262144,16384,1033072.4,1035411.2,2050147.6,2188193.6,2190584.8,991853.4
524288,64,319132.2,340179.0,505958.6,553540.0,200553.4,453948.2
524288,128,550836.4,567379.4,685817.4,800563.0,284421.6,624613.0
524288,256,653477.6,668820.2,936245.4,890673.4,416623.8,679075.2
524288,512,854449.0,839105.6,768507.0,765269.0,857434.2,833776.0
524288,1024,908477.0,952341.2,1124846.0,1115607.8,1120716.4,951133.8
524288,2048,983552.8,1047368.8,1444976.2,1567595.4,1456455.8,1008764.6
524288,4096,948383.4,1022174.0,1167777.2,1336885.6,1420663.8,1008454.6
524288,8192,961955.6,1044731.0,1430846.4,2031251.2,2492944.0,957561.8
524288,16384,923000.6,977339.6,2357254.4,2596133.6,2190559.8,954905.2
